,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
9,9,9.81912231,0.029084988,1.53135276,-0.076417737,-8.0,0.000668117,0.0,0.10069155699999999,10.0
10,39296,9.97795486,0.010734361,1.44087625,-0.07353463,-8.0,0.0008364189999999999,0.0,0.105590694,10.0
8,8,9.89370632,0.026677862000000004,1.45846212,-0.076161914,-8.0,0.001520694,0.0,0.103730582,10.0
7,7,9.98477364,0.053512175,1.45091915,-0.073256135,-8.0,0.003061142,0.0,0.10524850300000001,10.0
6,6,9.85603714,0.06408436599999999,1.47798228,-0.076931052,-8.0,0.003354262,0.0,0.102489926,10.0
5,5,9.98594952,0.08203853700000001,1.46043169,-0.07321997,-8.0,0.004506596,0.0,0.10490053099999999,10.0
4,4,9.84824562,0.100771479,1.47706997,-0.077408671,-8.0,0.005388674,0.0,0.102174133,10.0
3,3,9.98987579,0.11485028300000001,1.47131813,-0.073018834,-8.0,0.00617137,0.0,0.104546733,10.0
2,2,9.84399033,0.128827497,1.47625279,-0.07772938900000001,-8.0,0.006944924,0.0,0.101962864,10.0
1,1,10.0114155,0.153845608,1.48874569,-0.071627542,-8.0,0.008101816999999999,0.0,0.104326904,10.0
0,0,9.81149769,0.163175896,1.48531842,-0.07861588900000001,-8.0,0.008739526999999999,0.0,0.10104619,10.0
