,u,v,w,x,x bin,y,y bin,z,z bin
0,11.8928261,-0.201249525,-0.181198865,0.012465522,1.0,0.099328741,9.0,0.004805462,0.0
1,11.8398199,-0.31131655,-0.162915826,0.01368247,1.0,0.09956266,9.0,0.002187193,0.0
2,11.915686599999999,-0.15841381300000001,-0.18213968,0.011493676999999999,1.0,0.099110089,9.0,0.005192218,0.0
3,11.7677078,-0.510027409,-0.184669286,0.017619252,1.0,0.098704666,9.0,0.002586991,0.0
4,11.764123,-0.41831129799999994,-0.237119988,0.018642575,1.0,0.099491179,9.0,0.008524315,0.0
5,11.7423372,-0.674740314,-0.286448807,0.018481655,1.0,0.093148425,9.0,0.009537891,0.0
6,11.833044099999999,-0.384445965,-0.253432542,0.016716342,1.0,0.096941814,9.0,0.009414111999999999,0.0
7,11.926755,-0.225130513,-0.225633353,0.014317269,1.0,0.097622268,9.0,0.008281223,0.0
8,11.732742300000002,-0.660454214,-0.17782536100000002,0.017939913999999998,1.0,0.096906535,9.0,0.00037946599999999996,0.0
9,11.9135571,-0.49328804,-0.257316262,0.013740467,1.0,0.091292985,9.0,0.007859627,0.0
10,11.996397,-0.192187324,-0.23821088699999998,0.012344156,1.0,0.09515254199999999,9.0,0.00889293,0.0
11,12.0119095,-0.205020443,-0.227267146,0.01174267,1.0,0.094639577,9.0,0.007856265,0.0
12,11.824336099999998,-0.6253573889999999,-0.252986372,0.015942613,1.0,0.092121571,9.0,0.006977755,0.0
13,11.8076811,-0.481698513,-0.251565516,0.017080002,1.0,0.095915489,9.0,0.008503734,0.0
14,11.718929300000001,-0.6226772070000001,-0.23771035699999998,0.019177152,1.0,0.09686028199999999,9.0,0.00685714,0.0
15,12.011596699999998,-0.15093283400000002,-0.204970509,0.011595734,1.0,0.096325889,9.0,0.0064362790000000005,0.0
16,11.9446707,-0.265031785,-0.146971643,0.010112501,1.0,0.096599311,9.0,2.24e-05,0.0
17,11.99156,-0.374164134,-0.2343916,0.011670979,1.0,0.091530748,9.0,0.006707419,0.0
18,11.991064100000001,-0.304948926,-0.215124622,0.01181497,1.0,0.09356031599999999,9.0,0.0056968340000000004,0.0
19,11.7222805,-0.8510381579999999,-0.250603229,0.018127471000000003,1.0,0.091326974,9.0,0.005243962,0.0
20,11.982749900000002,-0.24060213600000002,-0.201878875,0.012247843000000001,1.0,0.09565337800000001,9.0,0.00530692,0.0
21,11.8512163,-0.61659205,-0.219747081,0.014821988,1.0,0.092110217,9.0,0.003742241,0.0
22,11.934584599999999,-0.569607258,-0.208288014,0.012273692,1.0,0.090069674,9.0,0.002270005,0.0
23,11.6853142,-0.878777027,-0.221655637,0.018865984,1.0,0.092885457,9.0,0.002447674,0.0
46936,11.7072811,-0.9145931009999999,-0.22597727199999998,0.018041231,1.0,0.09109278800000001,9.0,0.00216737,0.0
