,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
0,0,8.72036362,0.153105974,-0.572855353,-0.135900006,-14.0,0.007285868000000002,0.0,-0.040121164,-5.0
1,1,8.68514252,0.22008191,-0.658911467,-0.132319674,-14.0,0.009642931,0.0,-0.04297946,-5.0
2,2,8.74324226,0.134622276,-0.591741979,-0.136331812,-14.0,0.0065744440000000005,0.0,-0.042361673,-5.0
3,3,8.74976063,0.167831063,-0.723278403,-0.132454485,-14.0,0.008636893,0.0,-0.047729245999999996,-5.0
4,4,8.75559998,0.124916576,-0.6279212829999999,-0.135898829,-14.0,0.006068049,0.0,-0.044794567,-5.0
5,5,8.81261539,0.057011675,-0.559513927,-0.139851332,-14.0,0.004026996,0.0,-0.044230819000000005,-5.0
6,6,8.49711704,0.139942944,-0.699678302,-0.130672812,-14.0,0.0029163,0.0,-0.042064086,-5.0
7,7,8.80727959,0.04465152,-0.618890285,-0.138249665,-14.0,0.0028959140000000003,0.0,-0.04667053,-5.0
8,8,8.56714916,0.105540149,-0.75340873,-0.130232707,-14.0,0.002343718,0.0,-0.045515992000000005,-5.0
9,9,8.63181877,0.078196541,-0.641376853,-0.13431584800000002,-14.0,0.001065777,0.0,-0.042583328,-5.0
10,87567,8.69481945,0.035738394,-0.74252528,-0.13230249300000002,-14.0,0.000220342,0.0,-0.047485348,-5.0
0,0,8.55472279,0.026928708,-0.638189673,-0.134164885,-14.0,-0.001878034,-1.0,-0.041120647999999996,-5.0
1,1,8.82394218,-0.029352633,-0.602098107,-0.138630122,-14.0,-0.003191565,-1.0,-0.047975838,-5.0
2,2,8.761394500000002,-0.084860966,-0.586162984,-0.138004556,-14.0,-0.007484136999999998,-1.0,-0.043020297,-5.0
3,3,8.84759808,-0.054798815,-0.602570295,-0.138814941,-14.0,-0.006261416,-1.0,-0.048689070999999993,-5.0
4,4,8.85972118,-0.106860228,-0.657225907,-0.136216968,-14.0,-0.009362386,-1.0,-0.04972608,-5.0
5,94564,8.75074387,-0.119997159,-0.72912848,-0.132374406,-14.0,-0.00887362,-1.0,-0.04763107,-5.0
