,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,u,v,w,x,x bin,y,y bin,z,z bin
0,32,14,14,11.7653866,2.10255623,-0.308186829,-0.021077558,-3.0,0.081703119,8.0,0,-1.0
1,37,19,19,11.8945694,2.10012341,-0.255472749,-0.022617385,-3.0,0.086680688,8.0,0,-1.0
2,36,18,18,11.5974894,2.46970916,-0.348358244,-0.02844571,-3.0,0.085546359,8.0,0,-1.0
3,38,20,20,11.6264429,2.39170551,-0.34192079299999995,-0.026937962000000003,-3.0,0.08453939099999999,8.0,0,-1.0
4,39,21,57550,11.6279602,2.20182276,-0.295622587,-0.025533803,-3.0,0.08928871199999999,8.0,0,-1.0
5,31,13,13,11.6209316,2.28521562,-0.317364812,-0.023239072000000003,-3.0,0.080676019,8.0,0,-1.0
6,30,12,12,11.390478100000001,2.7161572,-0.341517061,-0.02939754,-3.0,0.082614467,8.0,0,-1.0
7,27,9,9,11.4077721,2.65230274,-0.326709718,-0.027748372,-3.0,0.08130673299999999,8.0,0,-1.0
8,35,17,17,11.7546501,2.27140713,-0.269077748,-0.025515784,-3.0,0.086954042,8.0,0,-1.0
9,23,5,5,11.757473,2.14854383,-0.250653595,-0.021611719,-3.0,0.082145676,8.0,0,-1.0
10,22,4,4,11.2367039,2.92003655,-0.296612859,-0.029709272000000002,-3.0,0.080359086,8.0,0,-1.0
11,25,7,7,11.8730106,2.12816024,-0.20830068,-0.022544779,-3.0,0.08610992099999999,8.0,0,-1.0
12,29,11,11,11.8977375,2.07744551,-0.198488176,-0.021483647,-3.0,0.085589476,8.0,0,-1.0
13,28,10,10,11.426125500000001,2.68175817,-0.249015436,-0.029833071,-3.0,0.08388391099999999,8.0,0,-1.0
