,Unnamed: 0,Unnamed: 0.1,u,v,w,x,x bin,y,y bin,z,z bin
0,17,17,9.76094818,0.27386510399999997,-3.24419904,-0.056960955,-6.0,0,0.0,-0.082444191,-9.0
1,18,18,9.9711647,0.201411784,-3.24419332,-0.051350895,-6.0,0,0.0,-0.084288567,-9.0
2,23,104086,9.92145538,0.295782804,-2.69881582,-0.058896600999999986,-6.0,0,0.0,-0.08807901300000001,-9.0
3,15,15,9.773320199999999,0.36031273,-3.17418694,-0.057636480999999996,-6.0,0,0.0,-0.08306168,-9.0
4,22,22,9.83640003,0.347510904,-2.87485814,-0.059283182,-6.0,0,0.0,-0.08593028800000001,-9.0
5,16,16,9.96861458,0.295078933,-3.1773448,-0.052395355,-6.0,0,0.0,-0.084747635,-9.0
6,2,2,9.85792255,0.315741718,-3.49844003,-0.051777586,-6.0,0,0.0,-0.081151918,-9.0
7,9,9,9.74645233,0.39425495299999996,-3.38359833,-0.056118287,-6.0,0,0.0,-0.08108796900000001,-9.0
8,14,14,9.94892693,0.360314846,-3.12950563,-0.053598739000000006,-6.0,0,0.0,-0.084925242,-9.0
9,7,7,9.62273502,0.490761936,-3.3165101999999997,-0.059894685,-6.0,0,0.0,-0.080383331,-9.0
10,13,13,10.0483799,0.38839718700000003,-3.0461998,-0.052022293,-6.0,0,0.0,-0.08643657,-9.0
11,21,21,10.024539,0.384889215,-2.82576895,-0.055077139000000004,-6.0,0,0.0,-0.08784809699999999,-9.0
12,8,8,9.80823326,0.4537360070000001,-3.33375978,-0.055227738,-6.0,0,0.0,-0.081980489,-9.0
13,5,5,9.83750343,0.504924059,-3.27445531,-0.055257917000000004,-6.0,0,0.0,-0.082679719,-9.0
14,6,6,10.0309563,0.44691503,-3.271492,-0.050265841,-6.0,0,0.0,-0.084324814,-9.0
15,20,20,10.127326,0.423738003,-2.80983734,-0.052726626,-6.0,0,0.0,-0.08866182,-9.0
16,12,12,10.0032501,0.478923976,-3.00031233,-0.053981204000000005,-6.0,0,0.0,-0.085981526,-9.0
17,4,4,9.98358536,0.527021527,-3.1729269,-0.052680273,-6.0,0,0.0,-0.084625602,-9.0
18,1,1,9.88868523,0.56243068,-3.45691061,-0.05208455,-6.0,0,0.0,-0.081575409,-9.0
19,19,19,10.1879244,0.43365380200000003,-2.71926236,-0.052233737,-6.0,0,0.0,-0.089572549,-9.0
20,10,10,9.92958832,0.465583146,-2.85410833,-0.057559073,-6.0,0,0.0,-0.085815683,-9.0
21,0,0,10.058506,0.594796896,-3.30810404,-0.050168686,-6.0,0,0.0,-0.083718106,-9.0
22,11,11,10.112324699999999,0.495769233,-2.9132719,-0.052205298,-6.0,0,0.0,-0.087356374,-9.0
23,3,3,10.0408325,0.541460276,-3.08770466,-0.052231062,-6.0,0,0.0,-0.085431151,-9.0
