,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
4,4,10.0549631,0.210977823,-1.05502951,0.101315781,10.0,-0.020097388,-3.0,0.08860087400000001,8.0
7,7,9.97579575,0.317649633,-1.11895096,0.10196171,10.0,-0.028315069,-3.0,0.082152084,8.0
14,61665,10.1480045,0.309190273,-0.991544843,0.102147631,10.0,-0.029090317,-3.0,0.088480957,8.0
6,6,9.90009975,0.33446595100000004,-1.1381135,0.102399856,10.0,-0.029679023,-3.0,0.08071050099999999,8.0
2,2,9.89804745,0.282128215,-1.15177786,0.102676407,10.0,-0.024958942,-3.0,0.081404589,8.0
3,3,10.0561981,0.24016854199999998,-1.07786989,0.102785565,10.0,-0.022073308,-3.0,0.085606121,8.0
0,0,9.85469246,0.230538279,-1.18575013,0.10281036,10.0,-0.020274708,-3.0,0.08116264599999999,8.0
9,9,10.1014042,0.289714813,-1.04617143,0.103421241,10.0,-0.026621286,-3.0,0.08543845300000001,8.0
13,13,10.087879199999998,0.26962927,-0.978951693,0.106533855,10.0,-0.026459161000000002,-3.0,0.08883857,8.0
11,11,9.99091721,0.31038653899999996,-1.05685997,0.106743023,10.0,-0.028666066,-3.0,0.081974365,8.0
8,8,10.0384998,0.283564508,-1.04064977,0.107177317,10.0,-0.026442252000000003,-3.0,0.083103932,8.0
12,12,10.0890446,0.306714475,-1.01002145,0.107233077,10.0,-0.02876145,-3.0,0.083817057,8.0
5,5,10.0412045,0.25130268899999997,-1.01426351,0.107964247,10.0,-0.024322355,-3.0,0.085876279,8.0
10,10,10.0688028,0.266874909,-0.980315626,0.10808979,10.0,-0.026256202000000003,-3.0,0.087598965,8.0
1,1,9.86828041,0.2308130860000001,-1.10158885,0.10837610800000001,10.0,-0.021578232000000003,-3.0,0.08090961,8.0
