,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
5,5,9.14409447,-0.430024803,-1.75471783,-0.093478762,-10.0,-0.018667147,-2.0,-0.080179349,-9.0
4,4,9.18599224,-0.380462766,-1.73253918,-0.093080811,-10.0,-0.017015187,-2.0,-0.081326649,-9.0
3,3,9.21280289,-0.327394992,-1.7213372,-0.09281072,-10.0,-0.015011353,-2.0,-0.08217537400000001,-9.0
1,1,9.16846752,-0.283586115,-1.77338767,-0.092744008,-10.0,-0.012681502,-2.0,-0.080983259,-9.0
2,2,9.27002716,-0.27390027,-1.69392645,-0.09214095800000001,-10.0,-0.013398705,-2.0,-0.083588123,-9.0
9,115569,9.27694225,-0.397378266,-1.67709947,-0.092020281,-10.0,-0.01890995,-2.0,-0.083105594,-9.0
8,8,9.31848526,-0.350181133,-1.65799904,-0.09153768400000001,-10.0,-0.017345935,-2.0,-0.08421915,-9.0
7,7,9.34677601,-0.302145898,-1.64682913,-0.091208592,-10.0,-0.015577619,-2.0,-0.085064381,-9.0
6,6,9.38804817,-0.255322516,-1.62226415,-0.09088686900000001,-10.0,-0.014048438,-2.0,-0.086194351,-9.0
0,0,9.25310135,-0.23001872,-1.77581954,-0.09045767800000001,-10.0,-0.011284171,-2.0,-0.082672969,-9.0
