,Unnamed: 0,u,v,w,x,x bin,y,y bin,z,z bin
18,18,8.37140274,-0.144040719,-1.83016479,-0.099110611,-10.0,-0.006581801,-1.0,-0.059693067999999995,-6.0
15,15,7.95175123,-0.244273737,-1.73230243,-0.09897121,-10.0,-0.009451522,-1.0,-0.051010098,-6.0
3,3,8.07314682,0.017666649,-1.8276732,-0.09879227,-10.0,-0.0008384810000000001,-1.0,-0.055326711,-6.0
0,0,7.87855864,0.03643097,-1.82004666,-0.09794817900000001,-10.0,-0.0011931589999999998,-1.0,-0.051000055,-6.0
12,12,8.30474377,-0.05578503,-1.86574435,-0.097870767,-10.0,-0.0033777959999999998,-1.0,-0.059314492999999996,-6.0
10,10,7.82295609,-0.150389493,-1.84181571,-0.096960492,-10.0,-0.005989859,-1.0,-0.050151657,-6.0
8,8,7.91890526,-0.02083878,-1.89332056,-0.096960127,-10.0,-0.0029584520000000003,-1.0,-0.052865688,-6.0
6,6,8.179533000000001,-0.013566813,-1.92498326,-0.096315891,-10.0,-0.0018349829999999999,-1.0,-0.057783727,-6.0
19,94566,8.02480412,-0.255519897,-1.89044154,-0.096081309,-10.0,-0.009717602,-1.0,-0.053304493,-6.0
5,5,8.2343359,0.020348359,-1.98948205,-0.094716027,-10.0,-7.2e-05,-1.0,-0.059446555,-6.0
14,14,8.04452133,-0.171751171,-2.06987762,-0.093558192,-10.0,-0.006797425,-1.0,-0.055477254000000004,-6.0
1,1,7.77544975,0.043118075,-2.08735967,-0.093449749,-10.0,-0.001169618,-1.0,-0.05212383,-6.0
11,11,8.09829998,-0.101666674,-2.10015225,-0.092892408,-10.0,-0.004212738,-1.0,-0.057074022,-6.0
2,2,7.69422722,-0.189690217,-2.12281632,-0.09285885099999999,-10.0,-0.004420137,-1.0,-0.051156018,-6.0
17,17,8.17739773,-0.215619832,-2.13831496,-0.092527673,-10.0,-0.007760348,-1.0,-0.058075778,-6.0
9,9,7.88991833,-0.024832957000000003,-2.15150928,-0.092522323,-10.0,-0.00297105,-1.0,-0.054001801,-6.0
4,4,8.03517246,0.028204046,-2.15676999,-0.092334278,-10.0,-0.0008195739999999999,-1.0,-0.056925841,-6.0
16,16,7.79418039,-0.42019698,-2.25901222,-0.09056264900000001,-10.0,-0.009810774,-1.0,-0.053149968,-6.0
13,13,8.21823883,-0.154905736,-2.26190042,-0.090529278,-10.0,-0.005833709,-1.0,-0.059901319,-6.0
7,7,7.9258852,-0.017774283999999998,-2.33241343,-0.09005960800000001,-10.0,-0.00321842,-1.0,-0.055732288,-6.0
