9.4737	9.3838	9.2722	9.1320	8.9533	8.7220	8.4174	8.0077	7.4438	6.6455	5.4777	3.6997	0.8561	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8561	3.6997	5.4777	6.6455	7.4438	8.0077	8.4174	8.7220	8.9533	9.1320	9.2722	9.3838	9.4737
9.4737	9.3838	9.2722	9.1320	8.9533	8.7220	8.4174	8.0077	7.4438	6.6455	5.4777	3.6997	0.8561	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8561	3.6997	5.4777	6.6455	7.4438	8.0077	8.4174	8.7220	8.9533	9.1320	9.2722	9.3838	9.4737
9.4821	9.3947	9.2865	9.1512	8.9795	8.7584	8.4692	8.0836	7.5583	6.8247	5.7705	4.2038	1.7817	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.7817	4.2038	5.7705	6.8247	7.5583	8.0836	8.4692	8.7584	8.9795	9.1512	9.2865	9.3947	9.4821
9.4983	9.4157	9.3141	9.1880	9.0294	8.8275	8.5668	8.2249	7.7687	7.1487	6.2886	5.0703	3.3092	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.3092	5.0703	6.2886	7.1487	7.7687	8.2249	8.5668	8.8275	9.0294	9.1880	9.3141	9.4157	9.4983
9.5215	9.4455	9.3531	9.2395	9.0987	8.9223	8.6990	8.4134	8.0440	7.5617	6.9273	6.0916	5.0025	3.6391	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.6391	5.0025	6.0916	6.9273	7.5617	8.0440	8.4134	8.6990	8.9223	9.0987	9.2395	9.3531	9.4455	9.5215
9.5503	9.4825	9.4008	9.3021	9.1818	9.0344	8.8528	8.6279	8.3491	8.0046	7.5836	7.0841	6.5297	6.0108	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.0108	6.5297	7.0841	7.5836	8.0046	8.3491	8.6279	8.8528	9.0344	9.1818	9.3021	9.4008	9.4825	9.5503
9.5835	9.5244	9.4546	9.3716	9.2729	9.1552	9.0149	8.8485	8.6534	8.4294	8.1833	7.9361	7.7383	7.6949	8.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	8.0022	7.6949	7.7383	7.9361	8.1833	8.4294	8.6534	8.8485	9.0149	9.1552	9.2729	9.3716	9.4546	9.5244	9.5835
9.6193	9.5694	9.5115	9.4442	9.3664	9.2767	9.1743	9.0595	8.9345	8.8059	8.6878	8.6075	8.6144	8.7897	9.2537	10.1526	11.5938	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	11.5938	10.1526	9.2537	8.7897	8.6144	8.6075	8.6878	8.8059	8.9345	9.0595	9.1743	9.2767	9.3664	9.4442	9.5115	9.5694	9.6193
9.6565	9.6155	9.5690	9.5165	9.4578	9.3930	9.3231	9.2504	9.1799	9.1205	9.0874	9.1054	9.2121	9.4597	9.9105	10.6189	11.5903	12.7241	13.7788	14.4285	14.4285	13.7788	12.7241	11.5903	10.6189	9.9105	9.4597	9.2121	9.1054	9.0874	9.1205	9.1799	9.2504	9.3231	9.3930	9.4578	9.5165	9.5690	9.6155	9.6565
9.6937	9.6611	9.6250	9.5857	9.5437	9.4998	9.4561	9.4160	9.3850	9.3721	9.3903	9.4588	9.6024	9.8508	10.2318	10.7581	11.4069	12.0997	12.7012	13.0555	13.0555	12.7012	12.0997	11.4069	10.7581	10.2318	9.8508	9.6024	9.4588	9.3903	9.3721	9.3850	9.4160	9.4561	9.4998	9.5437	9.5857	9.6250	9.6611	9.6937
9.7300	9.7048	9.6780	9.6500	9.6218	9.5948	9.5712	9.5548	9.5507	9.5665	9.6123	9.7012	9.8484	10.0687	10.3719	10.7546	11.1913	11.6284	11.9893	12.1953	12.1953	11.9893	11.6284	11.1913	10.7546	10.3719	10.0687	9.8484	9.7012	9.6123	9.5665	9.5507	9.5548	9.5712	9.5948	9.6218	9.6500	9.6780	9.7048	9.7300
9.7644	9.7458	9.7268	9.7083	9.6911	9.6770	9.6683	9.6681	9.6811	9.7129	9.7708	9.8631	9.9982	10.1825	10.4173	10.6945	10.9927	11.2771	11.5034	11.6295	11.6295	11.5034	11.2771	10.9927	10.6945	10.4173	10.1825	9.9982	9.8631	9.7708	9.7129	9.6811	9.6681	9.6683	9.6770	9.6911	9.7083	9.7268	9.7458	9.7644
9.7965	9.7834	9.7709	9.7598	9.7513	9.7467	9.7483	9.7587	9.7814	9.8207	9.8814	9.9683	10.0857	10.2354	10.4152	10.6168	10.8241	11.0145	11.1617	11.2424	11.2424	11.1617	11.0145	10.8241	10.6168	10.4152	10.2354	10.0857	9.9683	9.8814	9.8207	9.7814	9.7587	9.7483	9.7467	9.7513	9.7598	9.7709	9.7834	9.7965
9.8258	9.8173	9.8100	9.8048	9.8026	9.8048	9.8131	9.8298	9.8574	9.8988	9.9570	10.0348	10.1337	10.2535	10.3909	10.5387	10.6854	10.8162	10.9152	10.9687	10.9687	10.9152	10.8162	10.6854	10.5387	10.3909	10.2535	10.1337	10.0348	9.9570	9.8988	9.8574	9.8298	9.8131	9.8048	9.8026	9.8048	9.8100	9.8173	9.8258
9.8523	9.8474	9.8442	9.8433	9.8457	9.8524	9.8649	9.8848	9.9140	9.9544	10.0076	10.0751	10.1570	10.2523	10.3576	10.4671	10.5728	10.6648	10.7332	10.7697	10.7697	10.7332	10.6648	10.5728	10.4671	10.3576	10.2523	10.1570	10.0751	10.0076	9.9544	9.9140	9.8848	9.8649	9.8524	9.8457	9.8433	9.8442	9.8474	9.8523
9.8758	9.8739	9.8737	9.8760	9.8814	9.8910	9.9057	9.9269	9.9556	9.9932	10.0405	10.0980	10.1653	10.2409	10.3220	10.4041	10.4815	10.5476	10.5961	10.6217	10.6217	10.5961	10.5476	10.4815	10.4041	10.3220	10.2409	10.1653	10.0980	10.0405	9.9932	9.9556	9.9269	9.9057	9.8910	9.8814	9.8760	9.8737	9.8739	9.8758
