,Unnamed: 0,Unnamed: 0.1,u,v,w,x,x bin,y,y bin,z,z bin
0,0,0,10.1118193,-0.286715239,0.393806279,0,-10.0,-0.100583836,-11.0,0.130960166,13.0
1,1,1,10.1128845,-0.282084763,0.388753057,0,-10.0,-0.101008579,-11.0,0.132018,13.0
2,6,6,10.1145992,-0.287481219,0.381114781,0,-10.0,-0.103189282,-11.0,0.13056533,13.0
3,2,2,10.1143017,-0.272465229,0.384339988,0,-10.0,-0.10058745,-11.0,0.134146065,13.0
4,7,7,10.1151981,-0.279363036,0.378060579,0,-10.0,-0.102785744,-11.0,0.132514358,13.0
5,13,13,10.1164255,-0.281775147,0.37253749399999997,0,-10.0,-0.104177602,-11.0,0.131830752,13.0
6,3,3,10.115970599999999,-0.266766131,0.377843559,0,-10.0,-0.101109125,-11.0,0.13534933300000002,13.0
7,4,4,10.1173506,-0.260855079,0.374691844,0,-10.0,-0.10086105,-11.0,0.136521265,13.0
8,8,8,10.1173944,-0.271759182,0.367708445,0,-10.0,-0.103889495,-11.0,0.13421803699999998,13.0
9,14,14,10.1185789,-0.276605457,0.362475514,0,-10.0,-0.105526112,-11.0,0.13293986,13.0
10,17,17,10.1195297,-0.282679766,0.35836204899999996,0,-10.0,-0.10709376599999999,-11.0,0.131377622,13.0
11,9,9,10.1173506,-0.267056823,0.367735386,0,-10.0,-0.10330055699999999,-11.0,0.135376304,13.0
12,5,5,10.1191845,-0.25292053800000003,0.3711130620000001,0,-10.0,-0.100384735,-11.0,0.138081029,13.0
13,10,10,10.1181049,-0.261700958,0.365545034,0,-10.0,-0.103008479,-11.0,0.136557281,13.0
14,15,15,10.1199265,-0.271354496,0.35611200299999995,0,-10.0,-0.106133096,-11.0,0.134129331,13.0
15,11,11,10.1194706,-0.25574234100000004,0.362546414,0,-10.0,-0.102719121,-11.0,0.137734786,13.0
16,18,18,10.1212444,-0.277313411,0.350322485,0,-10.0,-0.108018048,-11.0,0.132568419,13.0
17,12,12,10.1210022,-0.247370005,0.362907022,0,-10.0,-0.10130626,-11.0,0.139292881,13.0
18,16,16,10.1203918,-0.263411403,0.353676617,0,-10.0,-0.105628893,-11.0,0.136045322,13.0
19,19,124492,10.122853300000001,-0.271266252,0.34271273,0,-10.0,-0.108772486,-11.0,0.13393323099999999,13.0
